Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuiteForAllTests,Chrome 113.0.0.0,,,2023-06-08 15:46:56,2023-06-08 15:48:22,1m - 25.966s,PASSED
,,,,,,,
Test Cases/commentCreationProcessTest,Chrome 113.0.0.0,,,2023-06-08 15:46:56,2023-06-08 15:47:07,10.783s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:46:57,2023-06-08 15:46:59,2.460s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:46:59,2023-06-08 15:47:00,0.321s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:00,2023-06-08 15:47:00,0.770s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:47:00,2023-06-08 15:47:01,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:47:01,2023-06-08 15:47:02,0.758s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Create New Post""))",Chrome 113.0.0.0,,,2023-06-08 15:47:02,2023-06-08 15:47:02,0.441s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Post/input_Post name_postName""), ""TEST POST NAME"")",Chrome 113.0.0.0,,,2023-06-08 15:47:02,2023-06-08 15:47:03,0.705s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Post/textarea_Post Text_postText""), ""TEST POST TEXT"")",Chrome 113.0.0.0,,,2023-06-08 15:47:03,2023-06-08 15:47:04,0.712s,PASSED
"click(findTestObject(""Object Repository/Page_Create Post/button_Create Post""))",Chrome 113.0.0.0,,,2023-06-08 15:47:04,2023-06-08 15:47:04,0.444s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Show more""))",Chrome 113.0.0.0,,,2023-06-08 15:47:04,2023-06-08 15:47:04,0.454s,PASSED
"setText(findTestObject(""Object Repository/Page_Post Page/textarea_Test User_commentText""), ""TEST COMMENT TEXT"")",Chrome 113.0.0.0,,,2023-06-08 15:47:04,2023-06-08 15:47:05,0.705s,PASSED
"click(findTestObject(""Object Repository/Page_Post Page/button_Create Comment""))",Chrome 113.0.0.0,,,2023-06-08 15:47:05,2023-06-08 15:47:06,0.445s,PASSED
"verifyElementPresent(findTestObject(""Page_Post Page/div_TEST COMMENT TEXT""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:06,2023-06-08 15:47:06,0.379s,PASSED
"click(findTestObject(""Object Repository/Page_Post Page/a_Logout""))",Chrome 113.0.0.0,,,2023-06-08 15:47:06,2023-06-08 15:47:06,0.441s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/edit/clean-test-user"")",Chrome 113.0.0.0,,,2023-06-08 15:47:06,2023-06-08 15:47:06,0.074s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:06,2023-06-08 15:47:07,0.675s,PASSED
,,,,,,,
Test Cases/postCreationProcessTest,Chrome 113.0.0.0,,,2023-06-08 15:47:07,2023-06-08 15:47:15,7.607s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:08,2023-06-08 15:47:09,1.143s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:09,2023-06-08 15:47:09,0.289s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:09,2023-06-08 15:47:10,0.791s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:47:10,2023-06-08 15:47:10,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:47:10,2023-06-08 15:47:11,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Create New Post""))",Chrome 113.0.0.0,,,2023-06-08 15:47:11,2023-06-08 15:47:11,0.444s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Post/input_Post name_postName""), ""TEST POST NAME"")",Chrome 113.0.0.0,,,2023-06-08 15:47:11,2023-06-08 15:47:12,0.707s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Post/textarea_Post Text_postText""), ""TEST POST TEXT"")",Chrome 113.0.0.0,,,2023-06-08 15:47:12,2023-06-08 15:47:13,0.705s,PASSED
"click(findTestObject(""Object Repository/Page_Create Post/button_Create Post""))",Chrome 113.0.0.0,,,2023-06-08 15:47:13,2023-06-08 15:47:13,0.469s,PASSED
"verifyElementPresent(findTestObject(""Page_Home Page/div_TEST POST NAME""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:13,2023-06-08 15:47:14,0.355s,PASSED
"click(findTestObject(""Page_Home Page/a_Logout""))",Chrome 113.0.0.0,,,2023-06-08 15:47:14,2023-06-08 15:47:14,0.444s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/edit/clean-test-user"")",Chrome 113.0.0.0,,,2023-06-08 15:47:14,2023-06-08 15:47:14,0.066s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:14,2023-06-08 15:47:15,0.648s,PASSED
,,,,,,,
Test Cases/profileEditionProcessTest,Chrome 113.0.0.0,,,2023-06-08 15:47:15,2023-06-08 15:47:27,12.382s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:15,2023-06-08 15:47:16,1.173s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:16,2023-06-08 15:47:17,0.275s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:17,2023-06-08 15:47:18,0.864s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:47:18,2023-06-08 15:47:18,0.448s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:47:18,2023-06-08 15:47:19,0.677s,PASSED
"click(findTestObject(""Page_Home Page/a_FirstT LastT""))",Chrome 113.0.0.0,,,2023-06-08 15:47:19,2023-06-08 15:47:19,0.458s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Profile/h3_Profile""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:19,2023-06-08 15:47:19,0.350s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_FirstName_firstName""), ""FirstTN"")",Chrome 113.0.0.0,,,2023-06-08 15:47:19,2023-06-08 15:47:20,0.681s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_LastName_lastName""), ""LastTN"")",Chrome 113.0.0.0,,,2023-06-08 15:47:20,2023-06-08 15:47:21,0.701s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_Birthday_birthday""), ""2002/12/20"")",Chrome 113.0.0.0,,,2023-06-08 15:47:21,2023-06-08 15:47:22,0.701s,PASSED
"click(findTestObject(""Object Repository/Page_Profile/button_Update Profile""))",Chrome 113.0.0.0,,,2023-06-08 15:47:22,2023-06-08 15:47:22,0.438s,PASSED
"verifyElementPresent(findTestObject(""Page_Profile/h3_Profile""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:22,2023-06-08 15:47:22,0.348s,PASSED
"verifyElementAttributeValue(findTestObject(""Page_Profile/input_FirstName_firstName""), ""value"", ""FirstTN"", 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:22,2023-06-08 15:47:23,0.400s,PASSED
"verifyElementAttributeValue(findTestObject(""Page_Profile/input_LastName_lastName""), ""value"", ""LastTN"", 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:23,2023-06-08 15:47:23,0.385s,PASSED
"verifyElementAttributeValue(findTestObject(""Page_Profile/input_Birthday_birthday""), ""value"", ""2002/12/20"", 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:23,2023-06-08 15:47:23,0.390s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_FirstName_firstName""), ""FirstT"")",Chrome 113.0.0.0,,,2023-06-08 15:47:23,2023-06-08 15:47:24,0.687s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_LastName_lastName""), ""LastT"")",Chrome 113.0.0.0,,,2023-06-08 15:47:24,2023-06-08 15:47:25,0.686s,PASSED
"setText(findTestObject(""Object Repository/Page_Profile/input_Birthday_birthday""), ""2003/09/23"")",Chrome 113.0.0.0,,,2023-06-08 15:47:25,2023-06-08 15:47:26,0.673s,PASSED
